type_annonce,nombre_pieces,prix (F CFA),Adresse,Image Link
Location,9,1.200.000,"Mariste, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5192982_uploaded_image1_1739964540.jpg
Location,8,3.000.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5192960_uploaded_image1_1739963956.jpg
Vente,5,300.000.000,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5189287_uploaded_image1_1739790072.jpg
Location,10,Prix.sur.demande,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5188104_uploaded_image1_1739703899.jpg
Location,6,1.000.000,"Ngor, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194728_uploaded_image1_1740048794.jpg
Vente,5,190,"Sicap Liberté, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5189231_uploaded_image1_1739788027.jpg
Vente,5,220,"Sicap Liberté, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5189220_uploaded_image1_1739787530.jpg
Location,9,1.700.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5197959_uploaded_image1_1740219606.jpg
Vente,8,79.000.000,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5187804_uploaded_image1_1739674674.jpg
Location,7,1.500.000,"Sicap foire, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5161744_uploaded_image1_1738281353.jpg
Location,5,900.000,"Sipres, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5159953_uploaded_image1_1738193965.jpg
Location,3,500.000,"Point E, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5156253_uploaded_image1_1738018086.jpg
Location,7,3.000.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5190579_uploaded_image1_1739837944.jpg
Location,4,1.100.000,"Saly, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5197447_uploaded_image1_1740183423.jpg
Location,7,3.000.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5197417_uploaded_image1_1740181258.jpg
Vente,4,120.000.000,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5164778_uploaded_image1_1738444760.jpg
Location,5,900.000,"Sipres, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195884_uploaded_image1_1740090698.jpg
